FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
1120,24,KIANGONDU DISP,1110,EASTERN,SOUTH MERU,CHUKA,KIANG'ONDU,TOWNSHIP(MERU SOUTH),1:50000 MAPS,4,MISS,-0.3181,37.6156,691f5b8c-09c6-4fa1-bad1-3b2c1a60e64d,4187349.43788347,-35410.9119365619
1121,15,MANYUANDA HEALTH CENTRE,1350,NYANZA,BONDO,MADIANY,WEST UYOMA,KOKWIRI,GPS,3,MOH,-0.25252,34.27609,50479357-dda7-4e44-9b2a-2e571e814959,3815596.88518442,-28110.4888198805
1122,79,SULTAN HAMUD HEALTH CENTRE,1032,EASTERN,MAKUENI,KASIKEU,KIOU,SULTAN HAMUD(MAK),GPS,3,MOH,-2.01401,37.38714,7084eda2-4095-4d6b-a777-c939b0d72be8,4161917.38701684,-224244.751886528
1123,28,NUU CATHOLIC DISP/ PHC UNIT,906,EASTERN,MWINGI,NUU,NUU,NGAANI(MWINGI),DSA/DFH(MOH)-UNFPA REPORT,4,MISS,-1.05615,38.3608,9d6df50a-f9c2-4ef9-b20c-9cb34bb09b3b,4270304.72242261,-117576.738885229
1124,25,KIBUGUA DISP,1113,EASTERN,SOUTH MERU,MAGUMONI,THUITA,KATHATWA,1:50000 MAPS,4,MOH,-0.36982,37.62027,dfecf17d-1f8b-49a4-be9c-d0d8bdfb52db,4187869.29990547,-41168.4599431974
1125,80,SYUMILE DISP,695,EASTERN,MAKUENI,MAKINDU,NGUUMO,SYUMILE,GPS,4,MOH,-2.27925,37.92147,03fb61fe-1ca6-42b9-a4ea-50835e787c01,4221398.73053241,-253791.895053574
1126,16,MASALA DISP,3839,NYANZA,BONDO,MADIANY,CENTRAL UYOMA,MASALA,GPS,4,MOH,-0.20811,34.292727,443f0c5e-eea4-4d5c-b0a9-66f937f0f18d,3817448.90755275,-23166.7501685212
1127,29,NUU HEALTH CENTRE,926,EASTERN,MWINGI,NUU,NUU,NGAANI(MWINGI),DSA/DFH(MOH)-UNFPA REPORT,3,MOH,-1.06937,38.3641,337e2e34-dc0c-4933-9f3e-1ef199848542,4270672.07674223,-119048.635754665
1128,26,KIENI DISP,1114,EASTERN,SOUTH MERU,MWIMBI,MAARA,IRUMA,ILRI VILLAGES,4,MISS,-0.22,37.7,4d6b73e5-dc75-4c05-af0b-b658f1044644,4196744.80290642,-24490.3481534307
1129,81,TAWA DEMONSTRATION H C,1046,EASTERN,MAKUENI,KISAU,KITETA,KIAMBWA,GPS,3,MOH,-1.54532,37.46568,8c1e0ae8-03d7-40dc-8b65-f92b784d6c9c,4170660.41982374,-172045.095256037
1130,17,MISORI DISP,4251,NYANZA,BONDO,MADIANY,WEST UYOMA,NYABERA(BONDO),GPS,4,MOH,-0.31856,34.278,0a2255af-9478-4d9e-a032-74589e78f4f4,3815809.50541184,-35462.1196926652
1131,0,NYAANI DISP,4682,EASTERN,MWINGI,NUU,MUITANGOMBE,MUANGENI,ILRI MKT CENTRES,4,MOH,-1.149878,38.302053,8ca95d48-6dc8-41af-9978-d863fa6a570e,4263765.03629698,-128012.427006459
1132,27,KIERA WOMANS GUILD DISP,0,EASTERN,SOUTH MERU,MWIMBI,KIERA,MAGUTUNI,ILRI VILLAGES,4,MISS,-0.23,37.77,70845984-07f5-4242-bbdb-6f3bb25cb566,4204537.16726195,-25603.5516462627
1133,82,TULIMANI DISP,699,EASTERN,MAKUENI,TULIMANI,TULIMANI,KALAWANI,HD MAPS,4,MOH,-1.59196,37.4163,ec25f661-b0fb-4a67-9e3a-22f7ffb7b06c,4165163.46336837,-177238.982870973
1134,18,NAYA DISP,1353,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NAYA,GPS,4,MOH,-0.36255,34.3121,595f1810-5d0d-4747-a215-4b1908ec73c4,3819605.50004789,-40359.1507158804
1135,30,NZAWA DISP,907,EASTERN,MWINGI,MIGWANI,NGUUTANI,NZAWA,DSA/DFH(MOH)-UNFPA REPORT,4,MOH,-1.11452,37.8983,02c07cfc-9cf3-4ec0-aa0f-c6b6eca5b401,4218819.45793073,-124075.623789429
